transition,T_e,n_e,gamma_W,gamma_d
445.3900,10000,1.000e+17,0.0118,-0.00317
445.3900,20000,1.000e+17,0.0187,-0.00584
445.3900,50000,1.000e+17,0.0265,-0.00961
445.3900,100000,1.000e+17,0.0304,-0.0118
445.3900,200000,1.000e+17,0.0338,-0.0141
445.3900,300000,1.000e+17,0.0352,-0.0155
445.3900,500000,1.000e+17,0.0367,-0.0173
408.2200,20000,1.000e+17,0.00982,-0.0034
408.2200,50000,1.000e+17,0.015,-0.00583
408.2200,100000,1.000e+17,0.0173,-0.00733
408.2200,200000,1.000e+17,0.0196,-0.00881
408.2200,300000,1.000e+17,0.0207,-0.0098
408.2200,500000,1.000e+17,0.0217,-0.0108
298.4700,20000,1.000e+17,0.00552,-0.0007
298.4700,50000,1.000e+17,0.00823,-0.00134
298.4700,100000,1.000e+17,0.00934,-0.00185
298.4700,200000,1.000e+17,0.0104,-0.00223
298.4700,300000,1.000e+17,0.0108,-0.00249
298.4700,500000,1.000e+17,0.0112,-0.0028
376.3400,20000,1.000e+17,0.00685,-0.00201
376.3400,50000,1.000e+17,0.0107,-0.00356
376.3400,100000,1.000e+17,0.0124,-0.00469
376.3400,200000,1.000e+17,0.0141,-0.00564
376.3400,300000,1.000e+17,0.0148,-0.00624
376.3400,500000,1.000e+17,0.0156,-0.007
332.7600,20000,1.000e+17,0.00572,-0.00141
332.7600,50000,1.000e+17,0.00884,-0.00251
332.7600,100000,1.000e+17,0.0102,-0.00336
332.7600,200000,1.000e+17,0.0115,-0.00402
332.7600,300000,1.000e+17,0.012,-0.00445
332.7600,500000,1.000e+17,0.0125,-0.00503
